time,high,low,open,volumefrom,volumeto,close
2024-12-12,0.6171,0.4699,0.5684,8292756.32,5050288.6,0.609
2024-12-13,0.7739,0.5799,0.609,14687256.95,10204706.13,0.6948
2024-12-14,0.7959,0.5524,0.6948,13842546.57,8983885.26,0.649
2024-12-15,0.8847,0.5603,0.649,12544410.35,10271016.47,0.8188
2024-12-16,0.8998,0.7434,0.8188,10341415.27,8126284.12,0.7858
2024-12-17,0.9221,0.7004,0.7858,10089468.14,8239059.68,0.8166
2024-12-18,1.015,0.7341,0.8166,11159444.48,8921976.42,0.7995
2024-12-19,1.269,0.7023,0.7995,13161206.49,14399991.89,1.094
2024-12-20,1.299,0.9095,1.094,13711507.76,14432442.38,1.053
2024-12-21,1.071,0.7532,1.053,13202830.84,10518981.57,0.7967
2024-12-22,0.8354,0.6896,0.7967,11241275.11,7822501.52,0.6959
2024-12-23,0.8794,0.5741,0.6959,20810029.78,16655066.77,0.8003
2024-12-24,1.284,0.72,0.8003,11901099.02,14437820.66,1.213
2024-12-25,1.299,1.108,1.213,7440516.79,8832262.48,1.187
2024-12-26,1.189,0.8833,1.187,8292514.77,8113567.28,0.9784
2024-12-27,1.134,0.8643,0.9784,8538867.71,7470428.74,0.8749
2024-12-28,1.042,0.8287,0.8749,8103132.38,7966387.81,0.9831
2024-12-29,1.029,0.7991,0.9831,7551583.08,6529107.42,0.8646
2024-12-30,0.9748,0.7795,0.8646,9159032.9,8056197.41,0.8796
2024-12-31,1.086,0.8138,0.8796,9557774.15,8917510.14,0.933
2025-01-01,1.07,0.9005,0.933,6887245.1,6733213.17,0.9776
2025-01-02,1.473,0.9779,0.9776,10132563.62,13526275.31,1.335
2025-01-03,1.611,1.285,1.335,5921632.61,9015039.01,1.522
2025-01-04,1.538,1.374,1.522,4556831.75,6492835.9,1.425
2025-01-05,1.454,1.246,1.425,4594397.84,5985303.09,1.303
2025-01-06,1.407,1.128,1.303,6265078.37,7317611.54,1.168
2025-01-07,1.254,1.055,1.168,7353928.36,7940654.18,1.08
2025-01-08,1.167,0.9421,1.08,9639110.19,10909290.44,1.132
2025-01-09,1.133,0.7641,1.132,10193176.57,8845638.63,0.8678
2025-01-10,0.9473,0.7953,0.8678,8742561.63,7330045.88,0.8384
2025-01-11,0.8685,0.7204,0.8384,8023834.66,6604843.41,0.8232
2025-01-12,0.8407,0.7598,0.8232,6264217.82,4794113.33,0.7653
2025-01-13,1.097,0.6783,0.7653,10796661.38,11625678.71,1.077
2025-01-14,1.191,0.9904,1.077,8158804.66,8319484.16,1.02
2025-01-15,1.354,0.957,1.02,13402059.57,17194842.43,1.283
2025-01-16,1.436,1.191,1.283,12468310.28,16456523.75,1.32
2025-01-17,1.562,1.314,1.32,12548484.52,17668266.2,1.408
2025-01-18,1.855,1.13,1.408,15792712.48,27338665.08,1.731
2025-01-19,2.736,1.597,1.731,15729452.96,33962868.1,2.159
2025-01-20,2.473,1.669,2.159,6655068.32,11952650.45,1.796
2025-01-21,1.981,1.503,1.796,10831496.84,17882801.28,1.651
2025-01-22,1.994,1.5,1.651,13769867.74,21332623.35,1.549
2025-01-23,1.669,1.315,1.549,18430581.0,25231465.39,1.369
2025-01-24,1.561,1.215,1.369,13458903.12,16781573.87,1.247
2025-01-25,1.485,1.128,1.247,13013988.69,17331166.01,1.332
2025-01-26,1.422,1.101,1.332,12111490.11,13329416.71,1.101
2025-01-27,1.134,0.8351,1.101,26456920.98,26589205.58,1.005
2025-01-28,1.097,0.7719,1.005,15756103.41,12730865.38,0.808
2025-01-29,1.159,0.7971,0.808,19577573.4,19675461.27,1.005
2025-01-30,1.291,0.9539,1.005,17640440.77,20004259.83,1.134
2025-01-31,1.153,0.8576,1.134,18191360.72,16232737.3,0.8923
2025-02-01,0.9685,0.6193,0.8923,22329629.73,14087178.36,0.6309
2025-02-02,0.72,0.5352,0.6309,42662277.91,30576617.72,0.7167
2025-02-03,0.8873,0.5044,0.7167,53362326.54,43133168.76,0.8083
2025-02-04,0.8312,0.631,0.8083,29506782.47,19040726.73,0.6453
2025-02-05,0.7083,0.4726,0.6453,27864132.77,13742590.28,0.4932
2025-02-06,0.5375,0.409,0.4932,31704535.31,13455404.79,0.4244
2025-02-07,0.58,0.4098,0.4244,29347955.18,12370163.11,0.4215
2025-02-08,0.5649,0.4132,0.4215,25233286.27,13694104.46,0.5427
2025-02-09,0.6263,0.4571,0.5427,24756344.48,12004351.44,0.4849
2025-02-10,0.6834,0.4841,0.4849,29366290.63,16677116.45,0.5679
2025-02-11,0.7178,0.5471,0.5679,26444175.69,14890715.33,0.5631
2025-02-12,0.6096,0.4823,0.5631,28207961.99,16244965.31,0.5759
2025-02-13,0.5986,0.4522,0.5759,24044412.07,11464375.67,0.4768
2025-02-14,0.5885,0.4603,0.4768,27324287.45,13383435.99,0.4898
2025-02-15,0.4916,0.422,0.4898,20814689.79,9100182.38,0.4372
2025-02-16,0.4651,0.4032,0.4372,20858397.29,8814758.69,0.4226
2025-02-17,0.4667,0.3526,0.4226,30015682.4,10808647.23,0.3601
2025-02-18,0.4524,0.2414,0.3601,36615204.92,11768256.85,0.3214
2025-02-19,0.3319,0.2938,0.3214,33812452.67,10059204.67,0.2975
2025-02-20,0.378,0.2891,0.2975,36430527.66,12900049.84,0.3541
2025-02-21,0.4081,0.3059,0.3541,33242780.75,10246947.55,0.3082
2025-02-22,0.389,0.3046,0.3082,25512240.03,9199713.75,0.3606
2025-02-23,0.3624,0.312,0.3606,15946342.72,5314916.03,0.3333
2025-02-24,0.3434,0.2677,0.3333,29592468.77,8211910.08,0.2775
2025-02-25,0.3076,0.2573,0.2775,36058889.12,10413246.1,0.2888
2025-02-26,0.3466,0.2762,0.2888,30711870.37,10368245.13,0.3376
2025-02-27,0.3494,0.299,0.3376,17991584.56,5539054.93,0.3079
2025-02-28,0.311,0.2605,0.3081,13845291.84,4019581.29,0.2971
2025-03-01,0.3155,0.2433,0.2968,20671715.03,5201003.5,0.2516
2025-03-02,0.3618,0.2334,0.2516,171120768.95,59840932.9,0.3497
2025-03-03,0.397,0.2674,0.3497,320730986.54,86186625.44,0.2687
2025-03-04,0.2756,0.2087,0.2687,417472604.07,107749679.11,0.2581
2025-03-05,0.3168,0.2464,0.2581,301525914.56,92598608.36,0.3071
