time,high,low,open,volumefrom,volumeto,close
2025-06-17,0.01245,0.01011,0.01202,9234081.98,106191.94,0.0115
2025-06-18,0.0146,0.01087,0.0115,12298790.67,167923.26,0.01365
2025-06-19,0.01371,0.01156,0.01365,7629613.88,92165.74,0.01208
2025-06-20,0.01386,0.01091,0.01208,9227015.46,106110.68,0.0115
2025-06-21,0.0158,0.01042,0.0115,19394752.96,241076.78,0.01243
2025-06-22,0.0136,0.00953,0.01243,18238769.42,188594.89,0.01034
2025-06-23,0.01338,0.009745,0.01034,15731487.67,199832.21,0.0127
2025-06-24,0.01409,0.01123,0.0127,19119219.4,263271.65,0.01377
2025-06-25,0.01799,0.01198,0.01377,22735399.94,347744.31,0.0153
2025-06-26,0.0163,0.01286,0.0153,15626428.07,208144.02,0.01332
2025-06-27,0.01376,0.01201,0.01332,12011499.57,146660.41,0.01221
2025-06-28,0.01359,0.01204,0.01221,9745380.33,127177.21,0.01305
2025-06-29,0.01386,0.01243,0.01305,8183927.13,106718.41,0.01304
2025-06-30,0.01791,0.01257,0.01304,15138066.97,253714.0,0.01676
2025-07-01,0.02101,0.01553,0.01676,17014768.01,267739.63,0.01574
2025-07-02,0.02511,0.01564,0.01574,16054263.16,382252.01,0.02381
2025-07-03,0.02501,0.01962,0.02381,9395110.97,184613.93,0.01965
2025-07-04,0.02029,0.01652,0.01965,10162291.74,177128.75,0.01743
2025-07-05,0.01896,0.01533,0.01743,8741113.55,136361.37,0.0156
2025-07-06,0.01811,0.01409,0.0156,12439822.61,209237.82,0.01682
2025-07-07,0.02088,0.0153,0.01682,10390232.61,165620.31,0.01594
2025-07-08,0.01835,0.0153,0.01594,7068210.74,123693.69,0.0175
2025-07-09,0.02004,0.01687,0.0175,8840191.51,167168.02,0.01891
2025-07-10,0.02204,0.01786,0.01891,11953954.16,257966.33,0.02158
2025-07-11,0.0234,0.01851,0.02158,11647179.14,230847.09,0.01982
2025-07-12,0.0206,0.01638,0.01982,10786351.94,186172.43,0.01726
2025-07-13,0.01812,0.01536,0.01726,8016419.8,126739.6,0.01581
2025-07-14,0.01681,0.01338,0.01581,15926469.09,237782.18,0.01493
2025-07-15,0.01507,0.01304,0.01493,13542296.37,187019.11,0.01381
2025-07-16,0.01569,0.01213,0.01381,33092422.18,481825.67,0.01456
2025-07-17,0.01806,0.01181,0.01456,35683009.52,550782.24,0.01544
2025-07-18,0.01591,0.01325,0.01544,11913433.51,165046.8,0.01385
2025-07-19,0.01648,0.01361,0.01385,13967464.04,222501.7,0.01593
2025-07-20,0.02008,0.0149,0.01593,19641906.91,356500.61,0.01815
2025-07-21,0.02407,0.01727,0.01815,27216837.12,558761.67,0.02053
